"","high","large","small","xtremelow","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1",70720088,221747622.4,181891384,821699.307,2073290.55283871,3357149.49651786,12172310.9727097,71408077.2484333,163233629.732258,142430229.106667,85015463.1451613,42269866.4370968,19805898.5675,9239918.40948387,4512561.57035,2460102.12582258
"2",28188845.465,88840152.64525,67537448.64875,349270.224,965554.642479839,1647971.62219196,7347907.50470565,21518883.7533042,53112505.1326411,57614383.636525,38215700.546629,19910882.1998589,9449128.88839583,4398403.60985887,2124941.5492375,1182770.99913306
"3",74610664,239031950.4,195988392,873812.644,2192871.58346774,3880374.511875,12830369.1977903,77568080.84635,175055301.064516,150197163.063333,88822456.5370968,43973658.1354839,20572156.5091667,9599910.73909677,4690940.7507,2558588.36972581
"4",120635569.6,363263013.12,304525291.2,1826232.2412,3655454.83807097,6628385.70593214,19296566.0446742,121529714.982907,267201877.467097,236522478.658,141639926.575806,70568867.2914516,33197070.09075,15526162.5404839,7530772.46913,3987461.22782581
"5",197796940.8,545746732.16,412652604.8,3425297,6075029.25762581,13662635.9181071,26978754.0798677,143729945.020667,337782519.901935,374542405.456,263965208.944516,144964129.304516,71458593.8266667,33841905.6209677,16030382.2718333,8009791.62371613
"6",373850473.6,832653322.24,675572854.4,9905459.15,12456081.5720581,31634051.9888821,82433855.9709774,384556483.741333,616884337.114839,602275598.517333,430265300.069677,245800055.905806,125277218.83,60583345.3893548,28901729.8308333,14365308.461371
"7",1277088.38,4343284.1,4200281.5,9416.369,16952.0098709677,11304.675625,212759.738903226,2655282.29386667,3404721.08383871,2027484.29566667,971692.367596774,435497.557225806,200648.936216667,95436.1844032258,49176.8717333333,27680.606516129
"8",477006.66,1616928.387,1574964.69,3614.291,6468.6049516129,4516.80008928571,71329.8208709677,949442.618433333,1285392.24787097,775599.8588,372074.193322581,164974.769112903,75373.2702666667,35535.5485,18256.0882666667,10314.4320967742
"9",1146728.12,76445658.4,3378767.25,7697.494,103722.322387097,52381.6986607143,201051.827032258,12129927.6664833,13004487.3220968,7529825.20725,4194132.59309677,2519614.20209677,1634584.63073333,923047.200112903,448386.48555,227407.812274194
"10",3566898.125,10851206.4125,9232981.34375,41358.486,184295.977108871,730024.80775,2405671.58994758,7971172.660475,7819111.37399597,4677575.87184167,2287437.68474597,1053121.98581452,506301.4721875,252148.359459677,127549.476504167,69925.5056048387
"11",160575504,466069305.6,377709184,2750625.975,18220608.7773065,44057655.0809464,102359865.714419,308858125.173333,345250755.741935,209587604.053333,101246337.851613,45701369.3129032,21306237.8366667,10476984.4919355,5425756.48833333,3026630.87658065
"12",644837504,2059600315.73333,1265982826.66667,15671013.5333333,17563648.9811828,41400787.1377976,132401824.745968,843780373.68,1241622918.58925,1035435118.75556,691049635.380645,393841777.483871,205781035.277778,103166543.351613,50548463.7777778,25414696.1086022
"13",675531968,2090960499.2,1287831424,16988520.6,18194082.6983871,34782762.2133929,98990575.7637097,664414880.733333,1246877430.55484,1143554845.06667,802649162.787097,476199449.574194,255393761.626667,129637156.212903,63815369.6066667,31709168.5580645
"14",1005735530.66667,2693287569.06667,1856243861.33333,30570398.4666667,34388297.294086,70643452.1537202,297999682.458199,1189273814.37333,1814034570.25376,1532745355.44889,1023746690.18495,595643009.995699,319059253.902222,162925950.572043,81077512.4944444,40848866.0166667
"15",224609744,613810547.2,540920544,3807096.6,28342132.7820645,66723041.2571429,180840576.83871,461772659.626667,456958229.780645,265871706.893333,126973921.309677,57339483.716129,26903640.7483333,13351174.7346774,7006540.21208333,3974503.32943548
"16",73399456,339104188.8,197735624,758470.849,2563425.94848387,6180471.91783929,64062292.6141129,217263922.453333,166502735.406452,85498259.3,39967723.8741935,18900304.1733871,9618965.5725,5227125.15967742,2758003.5608,1611746.17290323
"17",208688256,800049939.2,695648980,1650111.2865,2429529.51616129,1566414.50695536,187515756.053806,639312657.923558,472814495.88179,237427936.289008,107599437.047742,47668548.544621,22831906.5192083,12436550.7864435,6775648.40185,3979725.34409677
"18",50949672,206368758.4,196624576,385710.881,641495.318032258,411634.703321429,30521306.0465806,150918980.13,126305220.025806,65105090.0933333,29683852.283871,13158249.683871,6251406.02311667,3292839.82467742,1791084.48676667,1054321.45004839
"19",1706078.62,68967278.4,5112702,14239.198,142062.794435484,75241.2801428571,2284655.43196774,24643027.78005,20642503.2785484,10667683.5965,4968098.80425806,2323947.43125806,1320627.38636667,938850.609532258,511562.03245,265339.086306452
"20",3965299.25,15968671.2,15583957,31052.538,49173.4646935484,31220.7198928571,3630201.59404839,12105978.34,9061096.13346774,4580042.05905,2077547.63780645,917736.823,443813.769383333,241068.290935484,134174.662016667,79866.9866935484
"21",32524400,79965828,73367460,436506.689,7559967.94651613,22951347.7276786,52649697.6645161,68533757.52,43796484.5258064,21227782.9966667,9559879.74919355,4272985.30282258,2089468.36358333,1133621.952,661896.245483333,408940.452693548
"22",2498971648,5656711577.6,4534030848,69706069.6,96187462.0419355,250839854.157143,1303145946.89032,3973871729.70667,4391713352.67097,3146962050.56,1875732064.4129,1023436955.50968,538108835.253333,278098599.316129,141775085.96,73968986.4322581
"23",29819424,75895881.6,68788716,426733.075,4049145.20353226,15564423.6479821,44053242.6637097,65259390.4466667,45547393.1419355,22645595.7833333,10264307.7153226,4553980.51491935,2173327.24821667,1144167.04437097,671415.023866667,408064.684225806
