Sb_ID,Min_Irr_Eff,Max_Irr_Eff
1,0.5,0.8
2,0.5,0.8
3,0.5,0.8
4,0.5,0.8
5,0.5,0.8
6,0.5,0.8
7,0.5,0.8
8,0.5,0.8
9,0.5,0.8
10,0.5,0.8
11,0.5,0.8
12,0.5,0.8
13,0.5,0.8
14,0.5,0.8
15,0.5,0.8
16,0.5,0.8
17,0.5,0.8
18,0.5,0.8
19,0.5,0.8
20,0.5,0.8
21,0.5,0.8
22,0.5,0.8
23,0.5,0.8
24,0.5,0.8
25,0.5,0.8
26,0.5,0.8
27,0.5,0.8
28,0.5,0.8
29,0.5,0.8
30,0.5,0.8
31,0.5,0.8
32,0.5,0.8
33,0.5,0.8
34,0.5,0.8
35,0.5,0.8
36,0.5,0.8
37,0.5,0.8
38,0.5,0.8
39,0.5,0.8
40,0.5,0.8
41,0.5,0.8
42,0.5,0.8
43,0.5,0.8
44,0.5,0.8
45,0.5,0.8
46,0.5,0.8
47,0.5,0.8
48,0.5,0.8
49,0.5,0.8
50,0.5,0.8
51,0.5,0.8
52,0.5,0.8
53,0.5,0.8
54,0.5,0.8
55,0.5,0.8
56,0.5,0.8
57,0.5,0.8
58,0.5,0.8
59,0.5,0.8
60,0.5,0.8
61,0.5,0.8
62,0.5,0.8
63,0.5,0.8
64,0.5,0.8
65,0.5,0.8
66,0.5,0.8
67,0.5,0.8
68,0.5,0.8
69,0.5,0.8
70,0.5,0.8
71,0.5,0.8
72,0.5,0.8
73,0.5,0.8
74,0.5,0.8
75,0.5,0.8
76,0.5,0.8
77,0.5,0.8
78,0.5,0.8
79,0.5,0.8
80,0.5,0.8
81,0.5,0.8
82,0.5,0.8
83,0.5,0.8
84,0.5,0.8
85,0.5,0.8
86,0.5,0.8
87,0.5,0.8
88,0.5,0.8
89,0.5,0.8
