SB_ID,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
56,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,AvQ90daymax,Mar_AveAnnLF,Apr_AveAnnLF,May_AveAnnLF,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD
38,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
58,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
66,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
264,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
259,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
81,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,AvQ90daymax,Mar_AveAnnLF,Apr_AveAnnLF,May_AveAnnLF,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD
78,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,AvQ90daymax,Mar_AveAnnLF,Apr_AveAnnLF,May_AveAnnLF,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD
95,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
143,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
285,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
170,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
260,July,,,,,,,,,,,,,,,,,,,,,,,,,,
201,July,,,,,,,,,,,,,,,,,,,,,,,,,,
165,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
276,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
214,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD,,,,
189,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,AvQ90daymax,Mar_AveAnnLF,Apr_AveAnnLF,May_AveAnnLF,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD
198,AvQ7daymin,AvQ7daymax,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvAnnLFDur,,,,,,,,,,,,,,,,,,,,,
222,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,AvQ90daymax,Mar_AveAnnLF,Apr_AveAnnLF,May_AveAnnLF,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD
225,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD,,,,
233,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD,,,,
236,January,February,March,April,May,June,July,August,September,October,November,December,AvQ7daymin,AvQ7daymax,AvQ30daymin,AvQ30daymax,SmFlMeanVal,AvAnnSFDur,AvHFPK,AvHFPKJD,AvAnnHFDur,AvAnnLFDur,AvLFJD,,,,
