Subbasin,IRICE_kg.ha,Maize_kg.ha
1,0,0
2,0,0
3,0,611
4,0,0
5,0,1824
6,0,1340
7,0,0
8,0,9750
9,0,0
10,0,5800
11,0,7068
12,0,4355
13,0,0
14,0,0
15,0,332
16,1501,0
17,3018,0
18,2692,0
19,1345,0
20,3018,0
21,416,0
22,1800,0
23,189,0
24,1678,0
25,1583,0
26,379,0
27,0,0
28,369,0
29,0,0
30,1574,0
31,1412,186
32,341,0
33,2897,0
34,1390,1657
35,1250,0
36,1938,0
37,2132,0
38,1860,2177
39,3012,3767
40,1893,704
41,2569,2349
42,1385,0
43,0,0
44,652,0
45,3576,726
46,1404,0
47,1095,0
48,2377,1469
49,3156,1615
50,2402,0
51,372,0
52,3586,4306
53,3156,1615
54,1077,0
55,2992,0
56,3310,0
57,3292,0
58,3071,0
59,315,0
60,0,0
61,2677,1729
62,1267,0
63,2992,0
64,2656,0
65,2416,0
66,5987,0
67,1164,0
68,2550,0
69,740,0
70,1880,0
71,1100,0
72,1746,0
73,2369,0
74,2637,0
75,515,0
76,2319,0
77,2563,0
78,3752,0
79,3905,0
80,0,0
81,3258,0
82,532,0
83,3856,0
84,2068,0
85,3407,0
86,1602,0
87,3619,0
88,3031,0
89,2750,0
90,3660,0
91,1732,0
92,3807,0
93,2850,0
94,2033,0
95,1185,0
96,2558,0
97,2520,0
98,3099,0
99,3620,0
100,3364,0
101,5424,0
102,4913,0
103,3649,0
104,2723,0
105,4560,0
106,3699,0
107,1590,0
108,2075,0
109,1933,0
110,1657,227
111,4202,0
112,1665,0
113,2479,0
114,2685,0
115,4148,0
116,3327,0
117,4454,0
118,2363,0
119,302,0
120,2621,0
121,2878,0
122,2600,0
123,3237,0
124,3307,0
125,2413,0
126,3068,0
127,3501,0
128,1873,0
129,1682,0
130,3739,0
131,2406,0
132,3656,0
133,3745,0
134,2971,0
135,0,0
136,0,0
137,3026,0
138,2757,0
139,3026,0
140,2942,0
141,2006,0
142,1130,0
143,1796,0
144,3757,0
145,1796,0
146,3799,0
147,1867,0
148,642,0
149,1609,0
150,3187,0
151,3742,0
152,3939,0
153,5987,0
154,0,0
155,3424,0
156,0,0
157,0,0
158,1617,0
159,1844,0
160,2104,0
161,5987,0
162,1112,607
163,1272,1447
164,802,0
165,1421,0
166,816,759
167,2830,3613
168,244,0
169,1405,0
170,2627,0
171,647,0
172,717,0
173,387,0
174,1565,0
175,729,0
176,1808,0
177,1765,0
178,1902,0
179,0,0
180,405,0
181,752,0
182,965,0
183,1658,0
184,1615,0
185,1665,911
186,407,430
187,0,0
188,997,0
189,1443,0
190,997,0
191,871,830
192,190,0
193,965,0
194,607,0
195,322,0
196,331,0
197,520,0
198,1628,0
199,0,0
200,1190,0
201,1556,0
202,1190,0
203,456,0
204,2083,0
205,595,0
206,1572,1892
207,302,0
208,1356,0
209,2235,0
210,328,265
211,2203,0
212,1744,0
213,1344,357
214,565,0
215,2676,0
216,1774,0
217,2583,0
218,4521,0
219,4521,0
220,2729,0
221,1507,0
222,2560,0
223,4521,0
224,2560,0
225,4127,0
226,3801,0
227,2467,142
228,4521,0
229,3801,0
230,2877,0
231,0,0
232,3540,174
233,4392,0
234,5198,865
235,5198,865
236,4569,1039
237,4915,291
238,3671,0
239,2800,0
240,1887,137
241,1595,0
242,3591,0
243,3747,0
244,4560,0
245,3038,0
246,3113,0
247,2873,0
248,3141,0
249,3360,0
250,3738,0
251,2235,0
252,1125,0
253,3348,0
254,0,0
255,584,0
256,1809,0
257,2885,0
258,416,0
259,0,0
260,2627,0
261,4395,0
262,5972,0
263,2079,0
264,2065,0
265,2033,0
266,2231,0
267,0,0
268,3905,0
269,0,0
270,3416,0
271,0,0
272,1769,0
273,1428,0
274,1626,0
275,2383,0
276,1616,618
277,1535,0
278,2994,0
279,0,0
280,1873,0
281,781,0
282,1925,0
283,2750,0
284,1125,0
285,998,0
286,0,0
287,2722,0
288,4601,2264
289,1744,0
